expression,template_type,status,stage,universe,checks_failed,behavior_similarity,sharpe,fitness,returns,drawdown,turnover,margin,reward
"rank((ts_rank(vwap, 120) - ts_rank((ts_rank(vwap, 10) - ts_rank(vwap, 120)), 10)))",fundamental_momentum_spread,complete,IS,TOP3000,0,0.97255361293355,0.18,0.03,0.0174,0.1619,0.472,7.4e-05,-0.929965
"rank((ts_rank(returns, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9173735563126169,-0.02,-0.0,-0.001,0.1132,0.9422,-2e-06,-0.009476
"zscore(group_neutralize((returns - ts_mean(returns, 40)), sector))",mean_reversion,complete,IS,TOP3000,0,0.7824833240402628,-0.98,-0.32,-0.1536,0.8021,1.4351,-0.000214,-0.538351
"ts_rank((ts_rank(vwap, 20) - ts_rank((ts_rank(close, 10) - ts_rank(close, 20)), 10)), 10)",fundamental_momentum_spread,complete,IS,TOP3000,0,0.909813874074571,-0.37,-0.06,-0.0188,0.1455,0.7695,-4.9e-05,-0.155869
"ts_rank((ts_delta(low, 20) - ts_delta(low, 40)), 20)",acceleration,complete,IS,TOP3000,0,0.9999797681659277,0.36,0.08,0.0227,0.1048,0.4821,9.4e-05,-0.841328
"rank((ts_rank(close, 10) - ts_rank(adv20, 10)))",fundamental_cross,complete,IS,TOP3000,0,0.8742745538933683,-1.65,-0.72,-0.1061,0.5606,0.5618,-0.000378,-0.9883059999999999
"ts_rank((ts_rank(close, 60) - ts_rank((ts_rank(eps, 40) - ts_rank(eps, 60)), 40)), 40)",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9480323518461651,-0.87,-0.33,-0.0407,0.2066,0.2758,-0.000295,-1.484954
"zscore(((low - ts_mean(low, 10)) / (1 + ts_std_dev(low, 10))))",volatility_reversion,complete,IS,TOP3000,0,1.0,-1.53,-0.82,-0.1621,0.8173,0.5682,-0.000571,-2.029487
"rank((ts_rank(returns, 60) - ts_rank((ts_rank(vwap, 120) - ts_rank(vwap, 60)), 120)))",fundamental_momentum_spread,complete,IS,TOP3000,0,1.0,-1.34,-0.46,-0.102,0.5362,0.8635,-0.000236,-1.725246
"ts_decay_linear((ts_delta(returns, 120) - ts_delta(returns, 60)), 120)",acceleration,complete,IS,TOP3000,0,1.0,0.2,0.07,0.0276,0.2381,0.2024,0.000272,-0.899435
"rank((ts_rank(vwap, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9921067696641551,0.1,0.01,0.0088,0.1837,0.5174,3.4e-05,-0.968307
"zscore((ts_rank(cashflow, 20) - ts_rank(eps, 20)))",fundamental_cross,complete,IS,TOP3000,0,0.9472213686463116,-0.35,-0.09,-0.0166,0.1747,0.2361,-0.00014,-1.170069
"rank((ts_rank(cashflow, 60) - ts_rank((ts_rank(returns, 120) - ts_rank(returns, 60)), 120)))",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9595046217608872,0.27,0.03,0.0128,0.0923,1.0055,2.6e-05,-0.901245
"zscore((ts_rank(returns, 20) - ts_rank((ts_rank(returns, 5) - ts_rank(returns, 20)), 5)))",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9342510382026881,-1.64,-0.47,-0.1024,0.52,1.228,-0.000167,-1.821292
