2026-03-20 04:12:18,035 | INFO | events | completed alpha_id=320 status=complete sharpe=-0.8800 fitness=-0.2600
2026-03-20 04:12:18,238 | INFO | events | preparing template=mean_reversion expression=zscore(group_neutralize((returns - ts_mean(returns, 20)), sector))
2026-03-20 04:14:46,319 | INFO | events | completed alpha_id=324 status=complete sharpe=-0.9500 fitness=-0.3000
2026-03-20 04:14:46,341 | INFO | events | preparing template=quality_value expression=rank((ts_rank((returns / (1 + sales)), 10) - ts_rank(sales, 10)))
2026-03-20 04:16:14,969 | INFO | events | completed alpha_id=325 status=complete sharpe=-1.4200 fitness=-0.3800
2026-03-20 04:16:20,436 | INFO | events | preparing template=mean_reversion expression=rank(group_neutralize((eps - ts_mean(eps, 10)), industry))
2026-03-20 04:17:51,397 | INFO | events | completed alpha_id=334 status=complete sharpe=-0.2800 fitness=-0.0500
2026-03-20 04:17:51,646 | INFO | events | preparing template=quality_value expression=rank((ts_rank((high / (1 + cashflow)), 20) - ts_rank(cashflow, 20)))
2026-03-20 04:19:22,264 | INFO | events | completed alpha_id=340 status=complete sharpe=-0.7700 fitness=-0.2000
2026-03-20 04:19:27,504 | INFO | events | preparing template=volatility_reversion expression=zscore(((close - ts_mean(close, 20)) / (1 + ts_std_dev(close, 20))))
2026-03-20 04:21:37,833 | INFO | events | completed alpha_id=345 status=complete sharpe=-1.3800 fitness=-0.8400
2026-03-20 04:21:38,310 | INFO | events | preparing template=volatility_reversion expression=ts_rank(((book_value - ts_mean(book_value, 20)) / (1 + ts_std_dev(book_value, 20))), 20)
2026-03-20 04:21:49,374 | INFO | events | preparing template=quality_value expression=zscore((ts_rank((eps / (1 + operating_margin)), 20) - ts_rank(operating_margin, 20)))
2026-03-20 04:21:55,940 | INFO | events | preparing template=volatility_reversion expression=rank(((returns - ts_mean(returns, 60)) / (1 + ts_std_dev(returns, 60))))
2026-03-20 04:23:11,438 | INFO | events | completed alpha_id=359 status=complete sharpe=-1.2000 fitness=-0.3700
2026-03-20 04:23:11,669 | INFO | events | preparing template=volatility_reversion expression=zscore(((returns - ts_mean(returns, 5)) / (1 + ts_std_dev(returns, 5))))
2026-03-20 04:24:31,731 | INFO | events | completed alpha_id=364 status=complete sharpe=-0.5000 fitness=-0.1100
2026-03-20 04:24:31,981 | INFO | events | preparing template=mean_reversion expression=rank(group_neutralize((returns - ts_mean(returns, 120)), industry))
2026-03-20 04:27:05,241 | INFO | events | completed alpha_id=369 status=complete sharpe=-1.2400 fitness=-0.3900
2026-03-20 04:27:10,495 | INFO | events | preparing template=fundamental_cross expression=rank((ts_rank(book_value, 120) - ts_rank(cashflow, 120)))
2026-03-20 04:27:12,167 | INFO | events | preparing template=mean_reversion expression=zscore(group_neutralize((vwap - ts_mean(vwap, 10)), sector))
2026-03-20 04:29:48,466 | INFO | events | completed alpha_id=384 status=complete sharpe=-1.2700 fitness=-0.6800
2026-03-20 04:29:48,500 | INFO | events | preparing template=volatility_reversion expression=rank(((returns - ts_mean(returns, 20)) / (1 + ts_std_dev(returns, 20))))
2026-03-20 04:32:05,471 | INFO | events | completed alpha_id=385 status=complete sharpe=-1.2500 fitness=-0.3900
2026-03-20 04:32:10,692 | INFO | events | preparing template=mean_reversion expression=zscore(group_neutralize((close - ts_mean(close, 20)), industry))
2026-03-20 04:34:13,840 | INFO | events | completed alpha_id=390 status=complete sharpe=-1.3700 fitness=-0.9000
2026-03-20 04:34:14,083 | INFO | events | preparing template=breakout expression=rank(((high - ts_min(high, 120)) / (1 + (ts_max(high, 120) - ts_min(high, 120)))))
2026-03-20 04:34:20,788 | INFO | events | preparing template=price_volume_divergence expression=rank((ts_delta(vwap, 5) - ts_decay_linear(ts_delta(adv20, 5), 5)))
2026-03-20 04:45:05,441 | INFO | events | preparing template=fundamental_cross expression=rank((ts_rank(cashflow, 120) - ts_rank(sales, 120)))
2026-03-20 04:46:18,835 | INFO | events | completed alpha_id=405 status=complete sharpe=-0.0400 fitness=-0.0000
2026-03-20 04:46:19,016 | INFO | events | preparing template=volatility_reversion expression=rank(((vwap - ts_mean(vwap, 5)) / (1 + ts_std_dev(vwap, 5))))
2026-03-20 04:48:31,928 | INFO | events | completed alpha_id=410 status=complete sharpe=-1.8000 fitness=-0.8600
2026-03-20 04:48:37,376 | INFO | events | preparing template=breakout expression=rank(((vwap - ts_min(vwap, 60)) / (1 + (ts_max(vwap, 60) - ts_min(vwap, 60)))))
2026-03-20 04:48:39,080 | INFO | events | preparing template=mean_reversion expression=rank(group_neutralize((eps - ts_mean(eps, 20)), industry))
2026-03-20 04:51:08,172 | INFO | events | completed alpha_id=429 status=complete sharpe=0.2900 fitness=0.0600
2026-03-20 04:51:13,382 | INFO | events | preparing template=price_volume_divergence expression=rank((ts_delta(close, 10) - ts_decay_linear(ts_delta(volume, 10), 5)))
2026-03-20 05:01:53,943 | INFO | events | preparing template=quality_value expression=rank((ts_rank((sales / (1 + book_value)), 20) - ts_rank(book_value, 20)))
2026-03-20 05:01:55,231 | INFO | events | preparing template=volatility_reversion expression=zscore(((eps - ts_mean(eps, 40)) / (1 + ts_std_dev(eps, 40))))
2026-03-20 05:03:36,903 | INFO | events | completed alpha_id=440 status=complete sharpe=0.3500 fitness=0.1200
2026-03-20 05:03:37,095 | INFO | events | preparing template=quality_value expression=rank((ts_rank((cashflow / (1 + sales)), 120) - ts_rank(sales, 120)))
2026-03-20 05:05:02,313 | INFO | events | completed alpha_id=444 status=complete sharpe=0.1200 fitness=0.0200
