2026-03-20 17:14:47,143 | INFO | events | preparing template=fundamental_momentum_spread expression=ts_rank((ts_rank(cashflow, 120) - ts_rank((ts_rank(vwap, 60) - ts_rank(vwap, 120)), 60)), 60)
2026-03-20 17:17:00,435 | INFO | events | completed alpha_id=427 status=complete sharpe=0.5200 fitness=0.1500
2026-03-20 17:17:00,734 | INFO | events | preparing template=quality_value expression=rank((ts_rank((book_value / (1 + cashflow)), 120) - ts_rank(cashflow, 120)))
2026-03-20 17:17:02,466 | INFO | events | preparing template=acceleration expression=zscore((ts_delta(high, 120) - ts_delta(high, 20)))
2026-03-20 17:18:46,891 | INFO | events | completed alpha_id=437 status=complete sharpe=-0.0100 fitness=-0.0000
2026-03-20 17:18:46,905 | INFO | events | preparing template=momentum expression=zscore((ts_rank(eps, 10) - ts_rank(eps, 120)))
2026-03-20 17:20:10,137 | INFO | events | completed alpha_id=438 status=complete sharpe=-0.7200 fitness=-0.3000
2026-03-20 17:20:15,286 | INFO | events | preparing template=price_volume_divergence expression=ts_decay_linear((ts_delta(vwap, 20) - ts_decay_linear(ts_delta(adv20, 20), 10)), 20)
2026-03-20 17:24:26,745 | INFO | events | preparing template=price_volume_divergence expression=zscore((ts_delta(close, 5) - ts_decay_linear(ts_delta(volume, 5), 3)))
2026-03-20 17:35:05,395 | INFO | events | preparing template=acceleration expression=zscore((ts_delta(close, 5) - ts_delta(close, 40)))
2026-03-20 17:36:20,095 | INFO | events | completed alpha_id=447 status=complete sharpe=0.2500 fitness=0.0800
2026-03-20 17:36:20,123 | INFO | events | preparing template=price_volume_divergence expression=ts_decay_linear((ts_delta(close, 5) - ts_decay_linear(ts_delta(volume, 5), 10)), 5)
2026-03-20 17:46:52,796 | INFO | events | preparing template=price_volume_divergence expression=rank((ts_delta(close, 5) - ts_decay_linear(ts_delta(volume, 5), 3)))
2026-03-20 17:57:26,309 | INFO | events | preparing template=acceleration expression=rank((ts_delta(close, 5) - ts_delta(close, 20)))
2026-03-20 17:59:07,926 | INFO | events | completed alpha_id=457 status=complete sharpe=0.3500 fitness=0.1000
2026-03-20 17:59:13,218 | INFO | events | preparing template=fundamental_momentum_spread expression=ts_rank((ts_rank(cashflow, 60) - ts_rank((ts_rank(close, 120) - ts_rank(close, 60)), 120)), 120)
2026-03-20 18:01:12,141 | INFO | events | completed alpha_id=462 status=complete sharpe=-0.6500 fitness=-0.2200
2026-03-20 18:01:12,386 | INFO | events | preparing template=fundamental_momentum_spread expression=ts_decay_linear((ts_rank(close, 60) - ts_rank((ts_rank(close, 120) - ts_rank(close, 60)), 120)), 120)
2026-03-20 18:03:52,049 | INFO | events | completed alpha_id=467 status=complete sharpe=-0.2300 fitness=-0.1100
2026-03-20 18:03:52,291 | INFO | events | preparing template=acceleration expression=rank((ts_delta(cashflow, 10) - ts_delta(cashflow, 20)))
2026-03-20 18:05:29,261 | INFO | events | completed alpha_id=472 status=complete sharpe=0.4000 fitness=0.1400
2026-03-20 18:05:34,550 | INFO | events | preparing template=range_reversion expression=zscore(((high - ts_mean(high, 40)) / (1 + (ts_max(high, 40) - ts_min(high, 40)))))
2026-03-20 18:05:41,085 | INFO | events | preparing template=volume_confirmed_breakout expression=rank((((low - ts_max(low, 10)) / (1 + ts_std_dev(low, 10))) * ts_rank(volume, 10)))
2026-03-20 18:05:48,772 | INFO | events | preparing template=price_volume_divergence expression=zscore((ts_delta(vwap, 10) - ts_decay_linear(ts_delta(volume, 10), 5)))
2026-03-20 18:16:32,897 | INFO | events | preparing template=fundamental_momentum_spread expression=rank((ts_rank(book_value, 60) - ts_rank((ts_rank(vwap, 20) - ts_rank(vwap, 60)), 20)))
2026-03-20 18:16:34,357 | INFO | events | preparing template=price_volume_divergence expression=rank((ts_delta(close, 120) - ts_decay_linear(ts_delta(close, 120), 5)))
2026-03-20 18:18:28,936 | INFO | events | completed alpha_id=497 status=complete sharpe=-1.3600 fitness=-0.4700
2026-03-20 18:18:29,212 | INFO | events | preparing template=price_volume_divergence expression=rank((ts_delta(low, 5) - ts_decay_linear(ts_delta(volume, 5), 3)))
2026-03-20 18:29:11,036 | INFO | events | preparing template=range_reversion expression=zscore(((close - ts_mean(close, 20)) / (1 + (ts_max(close, 20) - ts_min(close, 20)))))
2026-03-20 18:29:17,543 | INFO | events | preparing template=volume_confirmed_breakout expression=ts_rank((((high - ts_max(high, 10)) / (1 + ts_std_dev(high, 10))) * ts_rank(adv20, 10)), 10)
